Name,Type,FK,Description,Required,Flagged for further discussion,Originating spec / analysis,ISO mapping
schema,string,,,TRUE,FALSE,GovStack,
object_id,string,,,TRUE,FALSE,GovStack,
serialized_snapshot,string,,,TRUE,FALSE,GovStack,
timestamp,string,,,TRUE,FALSE,GovStack,
authorized_by_individual,fk,Individual,,FALSE,TRUE,GovStack,
authorized_by_other,string,,Reference to an admin user that has created this revision,FALSE,TRUE,GovStack,
successor,fk,Revision,"This revision is no longer the latest revision, refer to its successor.",FALSE,FALSE,GovStack,
predecessor_hash,string,,Tamper-resistent artifact from previous record,FALSE,FALSE,GovStack,
predecessor_signature,string,,Tamper-resistent artifact from previous record (we don't know if the previous record was signed or not),FALSE,FALSE,GovStack,
,,,,,,,
Model: AgreementFilter,,,Query filter for API endpoint listing Agreement objects,,,,
id,string,,,TRUE,FALSE,,
name,string,,,TRUE,FALSE,,
,,,,,,,
Model: ConsentRecordFilter,,,Query filter for API endpoint listing ConsentRecord objects,,,,
id,string,,,TRUE,FALSE,,
opt_in,boolean,,,TRUE,FALSE,,
,,,,,,,
Model: PolicyFilter,,,Query filter for API endpoint listing Policy objects,,,,
id,string,,,TRUE,FALSE,,
name,string,,,TRUE,FALSE,,
revision,fk,Revision,,FALSE,FALSE,,
,,,,,,,
Model: Controller,,,Details of a data controller.,,,ADA*,
id,string,,,TRUE,FALSE,,
name,string,,Name of data controller (may be omitted if no data involved),TRUE,FALSE,ADA,
url,string,,URL of data controller (may be omitted if no data involved),TRUE,FALSE,ADA,
,,,,,,,
Model: Signature,,,"A generic signature contains a cryptographic hash of some value, together with a signature created by some private key in another system. Required signing methods: Revision object or another Signature object.",,,GovStack,
id,string,,,TRUE,FALSE,,
verification_method,string,,,TRUE,FALSE,GovStack,Kantara (Consent Receipt Collection Method)
verification_hash,string,,Internally generated cryptographic hash of the value to be signed.,TRUE,FALSE,GovStack,
verification_signature,string,,Signature of verification_hash,TRUE,FALSE,GovStack,
verification_artifact,string,,"A verification artifact in the form of a scanned object, image, signature etc.",FALSE,TRUE,GovStack,
jws_header,string,,"Alternative to the verification_method, verification_hash and verification_signature, give a JWS serialized object (RFC7515)",FALSE,TRUE,GovStack,
signed_by,string,,"Identifier information may change over time. This field could contain a natural individual's names, personal number, email addresses - store a snapshot that binds to the signature at the time of signing.",TRUE,TRUE,GovStack,
timestamp,string,,Timestamp of signature,TRUE,TRUE,GovStack,
object_type,string,,signature/revision,FALSE,TRUE,GovStack,
object_reference,string,,"A symmetric relation / back reference to the object_type that was signed. We are currently just modelling signing another signature (a chain) or signing a Revision (which can be a revision of an agreement, policy etc)",FALSE,TRUE,GovStack,
,,,,,,,
Model: AgreementPurpose,,,TBD: Models the purpose of an agreement,,,ADA*,
id,string,,,TRUE,TRUE,,
name,string,,Name of purpose,TRUE,TRUE,ADA*,
description,string,,Description of purpose,TRUE,TRUE,ADA*,
,,,,,,,
Model: AgreementLifecycle,,,TBD: Models the valid lifecycle states of an Agreement,,,GovStack/ADA,
id,string,,,TRUE,TRUE,,
name,string,,Definition / Preparation / Capture / Use / Proof,TRUE,TRUE,,
,,,,,,,
Model: RegistryReference,,,"TBD: When creating an Invidiual, we need some input that refers to a functional or foundational ID in an external system",,,,
id,string,,,TRUE,TRUE,,
foundational_id,string,,,FALSE,FALSE,,
functional_id,string,,,FALSE,FALSE,,
,,,,,,,
Model: AuditTracker,,,TBD: An external tracker receiving information from the system that can be subject to external auditing and verification of correct behavior. This is one of several notification/monitor/subscription patterns that may be more suitable for an encrypted Pub/Sub service.,,,GovStack,
id,string,,,TRUE,TRUE,,
name,string,,Name of the auditing system,TRUE,TRUE,,
public_key,string,,The auditing system's public key for encrypting data sent to callback functions,TRUE,TRUE,GovStack,
callback_agreement,string,,A URL receiving a callback with the Agreement object + Revision + AuditEventType,TRUE,TRUE,GovStack,
callback_consent_record,string,,A URL receiving a callback with the ConsentRecord object + Revision + AuditEventType,TRUE,TRUE,GovStack,
callback_policy,string,,A URL receiving a callback with the Policy object + Revision + AuditEventType,TRUE,TRUE,GovStack,
callback_revision_table_hash,string,,"A URL receiving a callback with <string> + AuditEventType. Periodically, the system can publish the hash of the revision table.",FALSE,TRUE,MOSIP,
callback_signature_table_hash,string,,"A URL receiving a callback with <string> + AuditEventType. Periodically, the system can publish the hash of the signature table.",FALSE,TRUE,MOSIP,
,,,,,,,
Model: AuditEventType,,,"TBD: Model for the possible events pertaining a change to an object subject to auditing. This model is not necessarily a database-backed model, but part of application code.",,,,
id,string,,,TRUE,TRUE,,
event_name,string,,What happened - create/update/delete,,,,
